,text,x,y,size,context,quote
0,Côté de Chez,-3.0583906,6.5906086,5.414213562373095,"combray, longtemps, chez, swann, côté",
1,Swann,-4.8278117,8.919872,36.09361307176243,"jalousie, forcheville, phrase, odette, swann",
2,"Swann
Première",-3.1628177,6.615802,5.0,"première, combray, longtemps, chez, swann","de Chez Swann
1. Du Côté de Chez Swann
Première partie : Combray
I.
Longtemps, je me"
3,"Combray
I.
Longtemps",-3.291183,6.701195,5.0,"combray, longtemps, bonne, parfois, couché",". Du Côté de Chez Swann
Première partie : Combray
I.
Longtemps, je me suis couché de bonne heure. Parfois"
4,François ,-0.30250537,7.314362,5.0,"ier, quatuor, survivait, rivalité, quint","une église,
un quatuor, la rivalité de François Ier et de Charles Quint. Cette
croyance survivait"
5,Charles Quint,-0.21789928,7.4196963,5.0,"secondes, quatuor, survivait, rivalité, quint","quatuor, la rivalité de François Ier et de Charles Quint. Cette
croyance survivait pendant quelques secondes à mon"
6,– date pour moi d’une ère nouvelle ,-3.872429,7.8188925,5.0,"date, ère, coupées, boucles, dissipée","par mes boucles et
qu’avait dissipée le jour – date pour moi d’une ère nouvelle – où on
les avait coupées. J’avais"
7,Ève,-1.455165,6.954038,6.0,"ni, divergent, corps, adam, ève","dans le monde des rêves.
Quelquefois, comme Ève naquit d’une côte d’Adam, une femme
"
8,Adam,-1.3213334,6.821527,6.23606797749979,"naissait, sédentaire, dégénérés, ève, adam","
Quelquefois, comme Ève naquit d’une côte d’Adam, une femme
naissait pendant mon sommeil d’une"
9,Si,-4.8403153,8.852922,9.744562646538029,"pierre, nullement, foi, mes, si","corps courbaturé
par le poids de sa taille. Si, comme il arrivait quelquefois, elle avait les
"
10,– mon corps,-1.9800382,7.0098166,5.0,"rappelait, chacun, logis, circonstances, rapprochant","le
logis en rapprochant les circonstances, lui, – mon corps, – se
rappelait pour chacun le genre"
11,Bohême,-3.4325643,6.3281064,5.0,"flamme, plafond, urne, bohême, veilleuse","rappelaient la flamme de la veilleuse de
verre de Bohême, en forme d’urne, suspendue au plafond par"
12,Sienne,-5.232338,7.613738,6.23606797749979,"scie, chaînettes, accusant, venise, sienne","par des chaînettes, la
cheminée en marbre de Sienne, dans ma chambre à coucher de Combray, chez"
13,Combray,-4.8605647,8.753543,23.0,"rues, jardin, église, enfance, combray","marbre de Sienne, dans ma chambre à coucher de Combray, chez mes grands-parents,
en des"
14,grands-parents,-4.0732737,7.2900734,5.0,"chambre, grands, parents, coucher, lointains","dans ma chambre à coucher de Combray, chez mes grands-parents,
en des jours lointains qu’en ce moment"
15,Mme de Saint-Loup,-4.6737432,9.219716,8.242640687119284,"lettrée, endosser, mme, saint, loup","autre direction : j’étais dans ma chambre chez Mme de Saint-Loup,
à la campagne ; mon Dieu "
16,Dieu !,-4.1636567,9.575995,7.3166247903554,"cré, écria, docteur, mon, dieu"," Saint-Loup,
à la campagne ; mon Dieu ! il est au moins dix heures, on doit avoir"
